n (Experiment #),[PopZ] (µM),[MgCl2] (mM),Scattering (Abs350nm)
1,0.2,50,0.01
1,0.5,50,0.066
1,1,50,0.1015
1,2.5,50,0.3085
1,5,50,0.987
1,10,50,1.2175
1,20,50,2.063
2,0.2,50,0.011
2,0.5,50,0.0445
2,1,50,0.138
2,2.5,50,0.3715
2,5,50,0.816
2,10,50,1.438
2,20,50,2.091
