### DATA:
#
# 1213
#      Q             I(Q)           Error     
3.64143259E-02  3.19475329E-04  8.50901964E-05
3.66999284E-02  3.33402372E-04  8.44781653E-05
3.69855310E-02  3.81843765E-04  8.50790988E-05
3.72711335E-02  3.63034303E-04  8.41594784E-05
3.75567361E-02  2.62547359E-04  8.32071509E-05
3.78423386E-02  4.28359736E-04  8.34519740E-05
3.81279412E-02  4.55338549E-04  8.31160578E-05
3.84135437E-02  3.69307152E-04  8.33852479E-05
3.86991463E-02  2.97073727E-04  8.26162693E-05
3.89847489E-02  3.75223532E-04  8.23271237E-05
3.92703514E-02  3.13737839E-04  8.22468238E-05
3.95559540E-02  2.84304770E-04  8.17105189E-05
3.98415565E-02  2.58915417E-04  8.17107318E-05
4.01271591E-02  2.85051192E-04  8.08874357E-05
4.04127616E-02  3.33901360E-04  8.18008013E-05
4.06983642E-02  3.57369965E-04  8.11606847E-05
4.09839667E-02  3.40440683E-04  8.01961719E-05
4.12695693E-02  3.52990614E-04  8.01779029E-05
4.15551719E-02  2.60457034E-04  8.01424499E-05
4.18407744E-02  5.05813499E-04  8.05433367E-05
4.21263770E-02  2.21774200E-04  7.96516604E-05
4.24119795E-02  1.87049538E-04  7.89275703E-05
4.26975821E-02  2.93619299E-04  7.90669068E-05
4.29831846E-02  2.81118057E-04  7.92966518E-05
4.32687872E-02  4.10470832E-04  7.92459843E-05
4.35543897E-02  3.74464017E-04  7.84337167E-05
4.38399923E-02  1.62169301E-04  7.83689712E-05
4.41255949E-02  1.91215367E-04  7.86800756E-05
4.44111974E-02  2.39544026E-04  7.78773403E-05
4.46968000E-02  2.86147206E-04  7.81653617E-05
4.49824025E-02  2.77703055E-04  7.71629570E-05
4.52680051E-02  1.97448996E-04  7.80792754E-05
4.55536076E-02  4.18525970E-04  7.77943918E-05
4.58392102E-02  2.19942536E-04  7.75510122E-05
4.61248127E-02  2.93789509E-04  7.67637133E-05
4.64104153E-02  2.47304650E-04  7.65900854E-05
4.66960179E-02  2.43547198E-04  7.76261161E-05
4.69816204E-02  2.49439699E-04  7.58986317E-05
4.72672230E-02  3.72412659E-04  7.65522194E-05
4.75528255E-02  2.67897156E-04  7.65798860E-05
4.78384281E-02  2.25658561E-04  7.61368955E-05
4.81240306E-02  2.12551344E-04  7.57544519E-05
4.84096332E-02  1.84905221E-04  7.59617598E-05
4.86952357E-02  2.08155817E-04  7.78164776E-05
4.89808383E-02  2.31910341E-04  7.88907312E-05
4.92664409E-02  2.28382287E-04  7.85349304E-05
4.95520434E-02  2.51732421E-04  7.98188564E-05
4.98376460E-02  1.06132322E-04  7.88578811E-05
5.01232485E-02  2.15103241E-04  8.05431872E-05
5.04088511E-02  2.55725625E-04  8.00943182E-05
5.06944536E-02  2.57270048E-04  8.06738601E-05
5.09800562E-02  3.90420144E-04  8.09410966E-05
5.12656587E-02  1.94457059E-04  8.08869017E-05
5.15512613E-02  1.76326932E-04  8.12412689E-05
5.18368639E-02  2.96861025E-04  8.13513774E-05
5.21224664E-02  3.05571821E-04  8.14931122E-05
5.24080690E-02  1.75244989E-04  8.20401217E-05
5.26936715E-02  1.81062734E-04  8.23476721E-05
5.29792741E-02  3.10878078E-04  8.22854617E-05
5.32648766E-02  3.39185773E-04  8.17231234E-05
5.35504792E-02  2.75609216E-05  8.24832462E-05
5.38360817E-02  1.20810531E-04  8.27475656E-05
5.41216843E-02  4.01231766E-04  8.23460057E-05
5.44072869E-02  2.11907590E-04  8.35769127E-05
5.46928894E-02  2.42813770E-04  8.23773557E-05
5.49784920E-02  3.00070691E-04  8.37066248E-05
5.52640945E-02  2.35508415E-04  8.19271598E-05
5.55496971E-02  1.68461259E-04  8.36908021E-05
5.58352996E-02  1.77194589E-04  8.29610022E-05
5.61209022E-02  1.99737497E-04  8.32413816E-05
5.64065047E-02  2.09328037E-04  8.42611949E-05
5.66921073E-02  1.80170179E-04  8.19018983E-05
5.69777099E-02  1.77330166E-04  8.35539451E-05
5.72633124E-02  2.85297098E-04  8.23745688E-05
5.75489150E-02  2.55791793E-04  8.28074416E-05
5.78345175E-02  2.03578385E-04  8.34904719E-05
5.81201201E-02  3.12455581E-04  8.24124838E-05
5.84057226E-02  1.48373181E-04  8.27790172E-05
5.86913252E-02  1.60752738E-04  8.19033681E-05
5.89769278E-02  1.94755221E-04  8.27706070E-05
5.92625303E-02  1.71513848E-04  8.21459401E-05
5.95481329E-02  3.67529447E-04  8.27405282E-05
5.98337354E-02  1.30759784E-04  8.30220876E-05
6.01193380E-02  2.44168528E-04  8.10250243E-05
6.04049405E-02  2.49577531E-04  8.30764010E-05
6.06905431E-02  2.99102830E-04  8.12840429E-05
6.09761456E-02  8.69948112E-05  8.21356741E-05
6.12617482E-02  3.85318081E-04  8.25368751E-05
6.15473508E-02  2.62306833E-04  8.11356901E-05
6.18329533E-02  7.62823403E-05  8.22078686E-05
6.21185559E-02  1.48316201E-04  8.05150647E-05
